n,t
10,0.03675961494445801
15,0.08308696746826172
20,0.14919233322143555
25,0.24679112434387207
30,0.3648838996887207
35,0.5232143402099609
40,0.7049412727355957
45,0.8357224464416504
50,1.0666141510009766
55,1.3074448108673096
60,1.6606228351593018
65,1.8947455883026123
70,2.2277987003326416
75,2.596500873565674
80,2.886765718460083
85,3.403334379196167
90,3.7430384159088135
95,4.2410359382629395
100,4.736451148986816
105,5.241450071334839
110,5.889623403549194
115,6.56784725189209
120,7.102583885192871
125,7.609517574310303
130,8.411008358001709
135,8.930032014846802
140,9.60420823097229
145,10.375460386276245
150,11.267794609069824
155,12.101949214935303
160,13.034788370132446
165,13.785523414611816
170,14.827590465545654
175,15.554794311523438
180,16.402239561080933
185,17.620158672332764
190,18.625024795532227
195,19.20154619216919
